Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-152156,11/8/2022,11/11/2022,Second Class,CG-12520,Kumar,Consumer,INDIA,Bangalore,Karnataka,530068,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
2,CA-2022-152156,11/8/2022,11/11/2022,Second Class,CG-12520,Kumar,Consumer,INDIA,Bangalore,Karnataka,530068,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,,,,
3,CA-2022-138688,6/12/2022,6/16/2022,Second Class,DV-13045,Daniyal,Corporate,INDIA,Ahmedabad,Gujarat,380001,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
4,US-2021-108966,10/11/2021,10/18/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,INDIA,Hyderabad,Telangana,500001,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
5,US-2021-108966,10/11/2021,10/18/2021,Standard Class,SO-20335,Sean O'Donnell,Consumer,INDIA,Hyderabad,Telangana,500001,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
6,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,,,,
7,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.97
8,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72
9,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,0.2,5.78
10,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
11,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31
